 1.52119e-06 1.26082e-06 0  -0.52119 0.850326 0 
 1.52656e-06 1.27041e-06 0  -0.526556 0.847025 0 
 1.5319e-06 1.28003e-06 0  -0.531901 0.843691 0 
 1.53723e-06 1.28968e-06 0  -0.537225 0.840324 0 
 1.54253e-06 1.29936e-06 0  -0.542528 0.836923 0 
 1.54781e-06 1.30908e-06 0  -0.547809 0.833488 0 
 1.55307e-06 1.31883e-06 0  -0.553069 0.830021 0 
 1.55831e-06 1.32861e-06 0  -0.558306 0.82652 0 
 1.56352e-06 1.33843e-06 0  -0.563521 0.822987 0 
 1.56871e-06 1.34828e-06 0  -0.568714 0.819421 0 
 1.57388e-06 1.35816e-06 0  -0.573884 0.815822 0 
 1.57903e-06 1.36807e-06 0  -0.579032 0.812191 0 
 1.58416e-06 1.37802e-06 0  -0.584156 0.808528 0 
 1.58926e-06 1.388e-06 0  -0.589257 0.804832 0 
 1.59433e-06 1.39801e-06 0  -0.594335 0.801104 0 
 1.59939e-06 1.40805e-06 0  -0.599389 0.797345 0 
 1.60442e-06 1.41813e-06 0  -0.604419 0.793553 0 
 1.60942e-06 1.42823e-06 0  -0.609425 0.789731 0 
 1.61441e-06 1.43837e-06 0  -0.614407 0.785876 0 
 1.61936e-06 1.44854e-06 0  -0.619364 0.781991 0 
 1.6243e-06 1.45874e-06 0  -0.624297 0.778074 0 
 1.6292e-06 1.46897e-06 0  -0.629205 0.774127 0 
 1.63409e-06 1.47923e-06 0  -0.634088 0.770149 0 
 1.63895e-06 1.48952e-06 0  -0.638946 0.76614 0 
 1.64378e-06 1.49985e-06 0  -0.643778 0.7621 0 
 1.64858e-06 1.5102e-06 0  -0.648585 0.758031 0 
 1.65337e-06 1.52058e-06 0  -0.653365 0.753931 0 
 1.65812e-06 1.531e-06 0  -0.65812 0.749801 0 
 1.66285e-06 1.54144e-06 0  -0.662849 0.745641 0 
 1.66755e-06 1.55191e-06 0  -0.667552 0.741452 0 
 1.67223e-06 1.56241e-06 0  -0.672228 0.737233 0 
 1.67688e-06 1.57294e-06 0  -0.676877 0.732985 0 
 1.6815e-06 1.5835e-06 0  -0.681499 0.728708 0 
 1.68609e-06 1.59409e-06 0  -0.686094 0.724402 0 
 1.69066e-06 1.60471e-06 0  -0.690662 0.720067 0 
 1.6952e-06 1.61536e-06 0  -0.695203 0.715704 0 
 1.69972e-06 1.62603e-06 0  -0.699715 0.711312 0 
 1.7042e-06 1.63674e-06 0  -0.7042 0.706891 0 
 1.70866e-06 1.64747e-06 0  -0.708657 0.702443 0 
 1.71309e-06 1.65823e-06 0  -0.713086 0.697967 0 
 1.71749e-06 1.66901e-06 0  -0.717487 0.693463 0 
 1.72186e-06 1.67983e-06 0  -0.721859 0.688931 0 
 1.7262e-06 1.69067e-06 0  -0.726202 0.684372 0 
 1.73052e-06 1.70154e-06 0  -0.730517 0.679786 0 
 1.7348e-06 1.71244e-06 0  -0.734802 0.675173 0 
 1.73906e-06 1.72336e-06 0  -0.739059 0.670533 0 
 1.74329e-06 1.73431e-06 0  -0.743285 0.665866 0 
 1.74748e-06 1.74529e-06 0  -0.747483 0.661173 0 
 1.75165e-06 1.75629e-06 0  -0.751651 0.656454 0 
 1.75579e-06 1.76732e-06 0  -0.755788 0.651709 0 
 1.7599e-06 1.77837e-06 0  -0.759896 0.646937 0 
 1.76397e-06 1.78945e-06 0  -0.763974 0.64214 0 
 1.76802e-06 1.80056e-06 0  -0.768021 0.637318 0 
 1.77204e-06 1.81169e-06 0  -0.772038 0.63247 0 
 1.77602e-06 1.82284e-06 0  -0.776024 0.627597 0 
 1.77998e-06 1.83403e-06 0  -0.779979 0.6227 0 
 1.7839e-06 1.84523e-06 0  -0.783904 0.617777 0 
 1.7878e-06 1.85646e-06 0  -0.787797 0.61283 0 
 1.79166e-06 1.86772e-06 0  -0.791659 0.607858 0 
 1.79549e-06 1.879e-06 0  -0.795489 0.602863 0 
 1.79929e-06 1.8903e-06 0  -0.799288 0.597843 0 
 1.80306e-06 1.90162e-06 0  -0.803056 0.5928 0 
 1.80679e-06 1.91297e-06 0  -0.806791 0.587734 0 
 1.81049e-06 1.92435e-06 0  -0.810494 0.582643 0 
 1.81417e-06 1.93574e-06 0  -0.814165 0.57753 0 
 1.8178e-06 1.94716e-06 0  -0.817804 0.572394 0 
 1.82141e-06 1.95861e-06 0  -0.82141 0.567235 0 
 1.82498e-06 1.97007e-06 0  -0.824984 0.562054 0 
 1.82853e-06 1.98156e-06 0  -0.828525 0.55685 0 
 1.83203e-06 1.99307e-06 0  -0.832033 0.551624 0 
 1.83551e-06 2.0046e-06 0  -0.835508 0.546377 0 
 1.83895e-06 2.01615e-06 0  -0.83895 0.541107 0 
 1.84236e-06 2.02772e-06 0  -0.842359 0.535817 0 
 1.84573e-06 2.03932e-06 0  -0.845734 0.530505 0 
 1.84908e-06 2.05093e-06 0  -0.849076 0.525172 0 
 1.85238e-06 2.06257e-06 0  -0.852384 0.519818 0 
 1.85566e-06 2.07423e-06 0  -0.855658 0.514443 0 
 1.8589e-06 2.08591e-06 0  -0.858898 0.509048 0 
 1.8621e-06 2.09761e-06 0  -0.862104 0.503633 0 
 1.86528e-06 2.10932e-06 0  -0.865276 0.498198 0 
 1.86841e-06 2.12106e-06 0  -0.868414 0.492743 0 
 1.87152e-06 2.13282e-06 0  -0.871517 0.487268 0 
 1.87459e-06 2.1446e-06 0  -0.874586 0.481775 0 
 1.87762e-06 2.15639e-06 0  -0.87762 0.476262 0 
 1.88062e-06 2.16821e-06 0  -0.880619 0.47073 0 
 1.88358e-06 2.18004e-06 0  -0.883583 0.46518 0 
 1.88651e-06 2.19189e-06 0  -0.886513 0.459611 0 
 1.88941e-06 2.20376e-06 0  -0.889407 0.454024 0 
 1.89227e-06 2.21565e-06 0  -0.892265 0.448419 0 
 1.89509e-06 2.22756e-06 0  -0.895089 0.442796 0 
 1.89788e-06 2.23948e-06 0  -0.897877 0.437155 0 
 1.90063e-06 2.25142e-06 0  -0.900629 0.431498 0 
 1.90335e-06 2.26338e-06 0  -0.903346 0.425823 0 
 1.90603e-06 2.27536e-06 0  -0.906027 0.420131 0 
 1.90867e-06 2.28735e-06 0  -0.908672 0.414423 0 
